URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/es/2023/09/28/espanol/robert-menendez-quien-es.html,266,58,text/html
https://www.nytimes.com/2023/10/07/us/rm-palmer-chocolate-factory-explosion.html,197,39,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2022%2F06%2F22%2Fopinion%2Ftitle-ix.html,1,4,application/json
https://www.nytimes.com/series/russias-dark-arts,288,55,text/html
https://www.nytimes.com/2023/10/08/nyregion/new-york-liberty-finals.html,237,37,text/html
https://www.nytimes.com/sitemap/1864/,72,39,text/html
https://www.nytimes.com/2023/10/03/dining/barstool-dave-portnoy-pizza.html,284,72,text/html
https://www.nytimes.com/sitemap/1880/,72,39,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Fopinion%2Ftruth-flossing-cold-medicine.html,1,4,application/json
https://www.nytimes.com/2023/09/29/travel/fall-hotels-maine-north-carolina-yellowstone-boston.html,260,78,text/html
https://www.nytimes.com/sitemap/1868/,72,39,text/html
https://www.nytimes.com/spotlight/new-york-times-sports,614,50,text/html
https://www.nytimes.com/sitemap/1937/,72,39,text/html
https://www.nytimes.com/2023/10/08/world/asia/afghanistan-earthquakes.html,228,38,text/html
https://www.nytimes.com/by/eli-murray,507,45,text/html
https://www.nytimes.com/2023/09/15/arts/television/drew-barrymore-video.html,194,38,text/html
https://www.nytimes.com/2023/10/07/opinion/gaza-israel-hamas.html,231,43,text/html
https://www.nytimes.com/sitemap/1925/,72,39,text/html
https://www.nytimes.com/2023/10/04/travel/autumn-gravel-biking-trails.html,257,65,text/html
https://www.nytimes.com/sitemap/1977/,72,39,text/html
https://www.nytimes.com/es/section/deportes,745,80,text/html
https://www.nytimes.com/2022/04/21/well/antidepressants-ssri-effectiveness.html,250,61,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F06%2Fbriefing%2Fthe-weekender.html,1,4,application/json
https://www.nytimes.com/sitemap/2020/,72,39,text/html
https://www.nytimes.com/sitemap/1973/,72,39,text/html
https://www.nytimes.com/section/world,1025,119,text/html
https://www.nytimes.com/article/war-images-ukraine-russia.html,966,36,text/html
https://www.nytimes.com/sitemap/1905/08/,80,59,text/html
https://www.nytimes.com/subscription/games?campaignId=4QHQ8,79,19,text/html
https://www.nytimes.com/2023/10/05/world/americas/mexico-blinken-garland-mayorkas.html,218,44,text/html
https://www.nytimes.com/crosswords/game/mini,79,38,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Fus%2Fpolitics%2Fbiden-trump-third-parties-no-labels.html,1,4,application/json
https://www.nytimes.com/2023/09/27/us/hollywood-screenwriters-union-deal.html,249,50,text/html
https://www.nytimes.com/2023/09/13/us/politics/russia-sanctions-missile-production.html,236,49,text/html
https://www.nytimes.com/interactive/2023/us/politics/2024-executive-power-survey.html,173,74,text/html
https://www.nytimes.com/2023/09/12/climate/mount-rainier-glaciers-climate-change.html,249,43,text/html
https://www.nytimes.com/crosswords/game/daily,79,38,text/html
